"","x","y"
"916",1.9,2.25
"917",2.21,2.25
"918",2.11,2.25
"919",2.25,2.25
"920",2.01,2.25
"921",2.09,2.25
"922",2.35,2.25
"923",1.97,2.25
"924",2.07,2.25
"925",1.84,2.4
"926",1.65,2.4
"927",1.83,2.4
"928",1.89,2.4
"929",1.79,2.4
"930",1.74,2.4
"931",1.92,2.4
"932",1.8,2.4
"933",1.87,2.4
"934",1.94,2.4
"935",2,2.4
"936",1.89,2.4
"937",1.99,2.4
"938",1.67,2.4
"939",1.96,2.4
"940",1.78,2.4
"941",1.92,2.4
"942",1.87,2.4
"943",2.16,2.4
"944",1.9,2.4
"945",2.21,2.4
"946",2.11,2.4
"947",2.25,2.4
"948",2.01,2.4
"949",2.09,2.4
"950",2.35,2.4
"951",1.97,2.4
"952",2.07,2.4
"953",1.84,1.95
"954",1.65,1.95
"955",1.83,1.95
"956",1.89,1.95
"957",1.79,1.95
"958",1.74,1.95
"959",1.92,1.95
"960",1.8,1.95
"961",1.87,1.95
"962",1.94,1.95
"963",2,1.95
"964",1.89,1.95
"965",1.99,1.95
"966",1.67,1.95
"967",1.96,1.95
"968",1.78,1.95
"969",1.92,1.95
"970",1.87,1.95
"971",2.16,1.95
"972",1.9,1.95
"973",2.21,1.95
"974",2.11,1.95
"975",2.25,1.95
"976",2.01,1.95
"977",2.09,1.95
"978",2.35,1.95
"979",1.97,1.95
"980",2.07,1.95
"981",1.84,2.18
"982",1.65,2.18
"983",1.83,2.18
"984",1.89,2.18
"985",1.79,2.18
"986",1.74,2.18
"987",1.92,2.18
"988",1.8,2.18
"989",1.87,2.18
"990",1.94,2.18
"991",2,2.18
"992",1.89,2.18
"993",1.99,2.18
"994",1.67,2.18
"995",1.96,2.18
"996",1.78,2.18
"997",1.92,2.18
"998",1.87,2.18
"999",2.16,2.18
"1000",1.9,2.18
"1001",2.21,2.18
"1002",2.11,2.18
"1003",2.25,2.18
"1004",2.01,2.18
"1005",2.09,2.18
"1006",2.35,2.18
"1007",1.97,2.18
"1008",2.07,2.18
